Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
1.64,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.435537524
1.4925,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.092502549
1.4975,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.104130854
1.5525,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.2320422
1.53,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.179714831
1.5675,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.266927113
1.4,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,-0.122621079
1.6575,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.476236588
1.765,3.326873264,15.56233133,4026,594058.49,2,1.452725263,0.429985311,0.726245129
1.585,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.307626177
1.5325,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.185528983
1.6875,3.326873264,15.56233133,4026,594058.49,2,1.452725263,0.429985311,0.546006414
1.65,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.458794132
1.655,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.470422436
1.6325,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.418095067
1.4475,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,-0.012152189
1.4275,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,-0.058665405
1.6575,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.476236588
1.5475,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.220413896
1.515,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.144829918
1.5225,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.162272375
1.5875,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.313440329
1.48,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.063431789
1.405,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,-0.110992774
1.075,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.878460852
0.925,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-1.227309979
0.86,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-1.378477933
1.255,0.249995175,12.27685794,4209.58,720619.2,1,1.452725263,0.429985311,-0.459841901
1.095,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.831947635
1.085,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.855204244
1.13,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.750549506
1.07,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.890089156
0.97,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-1.122655241
0.95,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-1.169168458
0.755,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-1.622672322
1.12,0.249995175,12.27685794,4209.58,720619.2,0,1.452725263,0.429985311,-0.773806114
1.41,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.09936447
1.333333333,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.277665135
1.37,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.192390904
1.42,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.076107862
1.36,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.215647512
1.26,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.448213596
1.336666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.269912931
1.296666667,1.438619204,13.52741199,4268.57,781236.14,1,1.452725263,0.429985311,-0.362939365
